,City,Country,Lat,Lng,Hotel Name
479,mackay,AU,-21.15,149.2,Coral Cay Resort
480,timra,SE,62.49,17.33,Wifstavarfs Herrgård
481,jorpeland,NO,59.02,6.04,Verkshotellet Jørpeland
482,aykhal,RU,66.0,111.5,
483,redlands,US,34.06,-117.18,"Country Inn & Suites by Radisson, San Bernardino (Redlands), CA"
484,banda aceh,IN,25.48,80.33,Hotel Sarang Intercontinental
485,meulaboh,ID,4.14,96.13,Hotel Meuligoe
486,bandarbeyla,SO,9.49,50.81,REER XOOSHLE GROUP
487,hukuntsi,BW,-24.0,21.75,Entabeni Hotel
488,kutum,SD,14.2,24.67,
489,khasan,RU,42.43,130.64,
490,isiro,CD,2.77,27.62,Nova
491,itamaraca,BR,-7.75,-34.83,Pousada Ruínas do Pilar
492,casablanca,MA,33.59,-7.62,Four Seasons Hotel Casablanca
493,kondoa,TZ,-4.9,35.78,New Geneva In Africa Hotel
494,port shepstone,CD,-7.03,29.76,
495,muli,MV,2.92,73.57,Medhufushi Island Resort
496,santa marta de tormes,PH,17.49,120.43,
497,grieskirchen,AT,48.23,13.83,Gasthof Hotel Zweimüller
498,port-cartier,CA,50.03,-66.87,Le Q'Artier
499,vallenar,CL,-28.57,-70.76,Hotel Solaris
500,cabimas,VE,10.39,-71.44,Hotel Costa Sol
501,marsa matruh,MT,35.88,14.5,Preluna
502,samarai,PG,-10.62,150.67,Nuli Sapi
503,sur,OM,22.57,59.53,Resort Sur Beach Holiday منتجع شاطئ صور هوليداي
504,mnogovershinnyy,RU,53.94,139.92,Gostinitsa
505,burnie,AU,-41.07,145.92,Ikon Hotel
506,kieta,PG,-6.22,155.63,
507,goderich,CA,43.75,-81.72,Samuels Hotel
508,normandin,CA,48.83,-72.53,Gîtes Makadan (Les)
509,bembereke,BJ,10.23,2.66,Hotel Bio Guera
510,ternate,ID,0.8,127.4,MUARA HOTEL and MALL TERNATE
511,omis,HR,43.44,16.69,Hotel Plaža Duće
512,christchurch,NZ,-43.53,172.63,"Chateau on the Park - Christchurch, a DoubleTree by Hilton"
513,ridgecrest,US,35.62,-117.67,Best Western China Lake Inn
514,wasilla,US,61.58,-149.44,Best Western Lake Lucille Inn
515,yelizovo,RU,53.19,158.38,Yu Hotel
516,develi,TR,38.39,35.49,Grand Erciyes Otel
517,polson,US,47.69,-114.16,Kwataqnuk Resort & Casino
518,jaru,BR,-10.44,-62.47,Hotel Pluma
519,bahia blanca,BR,-12.0,-42.0,
520,at-bashi,KG,41.17,75.81,Hostel At-Bashy
521,hinganghat,IN,20.57,78.83,Ll Guest House
522,dharchula,IN,29.85,80.53,Himtop Hotel Dharchula
523,marovoay,MG,-16.1,46.63,
524,san patricio,ML,13.3,-4.9,Hôtel Teriya
525,salinopolis,BR,-0.61,-47.36,Hotel Concha do Mar
526,lindas,NO,60.74,5.16,Westland Hotel AS
527,nieves,PH,15.33,120.95,Besm Traveller's Inn
528,urshelskiy,RU,55.68,40.22,
529,almeirim,BR,-1.52,-52.58,Hotel almirante
530,mucurapo,TT,10.67,-61.53,Hyatt Regency Trinidad
531,bull savanna,LR,6.2,-10.28,
532,san ramon,ML,13.3,-4.9,Hôtel Teriya
533,poso,ID,-1.4,120.75,Ancyra Hotel By Continent - Poso
