,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
387,nuuk,100,GL,1586665080,90,64.18,-51.72,33.8,16.11
388,nanortalik,100,GL,1586665080,76,60.14,-45.24,36.9,38.36
389,khandyga,100,RU,1586664993,93,62.67,135.6,33.35,6.26
390,spornoye,0,RU,1586665081,74,50.84,37.29,30.2,11.18
391,beringovskiy,98,RU,1586665082,94,63.05,179.32,14.68,10.31
392,at-bashi,78,KG,1586665082,60,41.17,75.81,41.0,3.02
393,alta floresta,100,NO,1586665082,62,69.97,23.27,24.8,12.75
394,burnie,73,AU,1586665083,67,-41.07,145.92,58.3,14.94
395,mwense,78,ZM,1586665083,71,-10.38,28.7,63.7,3.76
396,campbell river,90,US,1586665083,43,38.95,-84.38,53.6,5.53
397,pakxan,56,LA,1586665084,54,18.38,103.66,93.0,6.02
398,darhan,100,MN,1586665084,24,49.49,105.92,56.86,11.36
399,pisco,40,PE,1586665084,78,-13.7,-76.22,73.4,2.24
400,araouane,0,ML,1586665085,14,18.9,-3.53,80.01,1.86
401,smidovich,0,RU,1586665085,35,48.6,133.82,56.57,3.65
402,mount gambier,68,GB,1586665085,100,53.66,-1.85,51.01,1.12
403,san bernardo,63,ML,1586665086,32,13.3,-4.9,88.14,11.21
404,coronado,75,US,1586665086,72,32.69,-117.18,61.0,5.82
405,pokhara,0,NP,1586665086,13,28.23,83.98,79.57,1.52
406,vernon,1,CA,1586665087,26,50.26,-119.27,44.6,8.05
407,gat,40,IL,1586664834,82,31.61,34.76,55.4,4.7
408,shubarkuduk,3,KZ,1586665088,59,49.14,56.49,42.57,9.53
409,tabuk,46,PH,1586665088,59,17.42,121.44,84.36,5.06
410,kobryn,91,BY,1586665088,69,52.21,24.36,33.8,2.24
411,haines junction,1,US,1586665089,64,59.23,-135.44,42.8,3.83
412,russell,1,US,1586664917,87,32.35,-85.2,59.0,4.99
413,hlobyne,0,UA,1586665089,81,49.39,33.26,34.63,7.43
414,omboue,100,GA,1586665090,86,-1.57,9.26,76.8,10.49
415,inhambane,0,MZ,1586665090,91,-23.86,35.38,69.26,5.46
416,monchegorsk,82,RU,1586665090,92,67.94,32.87,17.06,6.04
417,banda aceh,0,IN,1586665091,14,25.48,80.33,91.22,1.3
418,excelsior springs,90,US,1586664846,39,44.9,-93.57,48.99,14.99
419,sarmizegetusa,3,RO,1586665092,62,45.52,22.78,44.67,4.85
420,north platte,12,FR,1586665092,76,50.33,3.67,52.0,1.12
421,santiago del estero,75,CL,1586665002,72,-33.46,-70.65,59.0,5.82
422,balyaga,100,RU,1586665093,25,51.15,108.92,57.06,6.51
423,arman,93,RU,1586665093,92,59.7,150.17,25.77,5.64
424,ketchikan,1,US,1586665093,56,55.34,-131.65,48.2,12.75
425,saint-pierre,18,RE,1586665094,65,-21.34,55.48,79.0,4.7
426,fort nelson,72,NL,1586665094,80,52.65,6.39,48.99,3.36
427,williams lake,5,CA,1586664907,70,52.14,-122.14,32.0,9.17
428,nadym,100,RU,1586665094,94,65.53,72.52,20.05,6.58
429,cheyenne,90,US,1586665095,86,41.14,-104.82,53.01,19.46
430,pyshma,92,RU,1586665095,79,56.95,63.25,40.86,5.1
431,vanimo,92,PG,1586665095,80,-2.67,141.3,83.73,5.99
432,mahebourg,75,MU,1586664822,69,-20.41,57.7,81.0,12.75
433,luganville,20,VU,1586665096,66,-15.53,167.17,84.2,8.05
434,kargopol,0,RU,1586665096,93,61.51,38.95,24.21,2.37
435,puerto escondido,20,ES,1586665097,58,36.59,-6.23,57.2,5.82
436,siyabuswa,0,ZA,1586665097,43,-25.11,29.04,62.37,1.52
437,lorengau,51,PG,1586664835,71,-2.02,147.27,84.81,2.98
438,roald,100,NO,1586665098,87,62.58,6.13,46.99,28.86
439,magole,75,TZ,1586665098,100,-6.37,37.37,71.6,2.82
440,faanui,8,PF,1586665098,73,-16.48,-151.75,82.62,13.2
441,ucluelet,0,CA,1586664913,73,48.93,-125.55,48.0,4.21
442,ternate,18,ID,1586665099,69,0.8,127.4,85.28,7.14
443,boa vista,100,CM,1586665099,84,4.43,8.97,73.24,2.93
444,sarkand,33,KZ,1586665099,26,45.41,79.92,58.82,1.97
445,pindiga,100,NG,1586665100,42,9.98,10.93,78.04,5.06
446,touros,20,BR,1586664895,94,-5.2,-35.46,77.0,3.36
447,alice springs,90,US,1586665100,88,27.75,-98.07,78.8,16.11
448,shingu,75,JP,1586665101,87,33.73,135.98,51.8,4.7
449,oudtshoorn,40,ZA,1586665101,56,-33.59,22.2,71.6,23.04
450,tuban,58,ID,1586665101,68,-6.9,112.06,85.53,4.52
451,berberati,100,CF,1586665102,82,4.26,15.79,67.89,2.84
452,tolyatti,40,RU,1586664980,49,53.53,49.35,46.4,4.47
453,kedougou,60,SN,1586665102,51,12.56,-12.17,82.22,5.12
454,grajau,94,BR,1586665102,86,-5.82,-46.14,75.16,1.81
455,tuensang,0,IN,1586665103,21,26.28,94.83,83.88,2.62
456,oytal,100,KZ,1586665103,46,42.91,73.27,57.7,6.15
457,oktyabrskiy,100,RU,1586665103,80,54.48,53.47,39.22,5.41
458,eidfjord,100,NO,1586665103,71,60.47,7.07,42.82,6.35
459,gambela,100,ET,1586665104,60,8.25,34.58,77.34,2.62
460,grimshaw,20,CA,1586665104,45,56.18,-117.6,24.8,9.17
461,burns lake,1,US,1586665104,48,43.59,-119.05,42.01,5.82
462,vieques,20,PR,1586665105,83,18.43,-65.83,80.6,9.17
463,sobolevo,0,RU,1586664817,84,54.43,31.9,31.3,7.09
464,okha,100,RU,1586665105,95,53.57,142.95,32.09,12.37
465,marataizes,100,BR,1586665105,93,-21.04,-40.82,71.24,10.22
466,leiyang,13,CN,1586665106,55,26.4,112.86,58.75,8.03
467,litovko,0,RU,1586665106,37,49.24,135.17,54.97,5.99
468,carlos chagas,90,US,1586665106,59,45.97,-95.29,39.99,12.75
469,chapais,75,CA,1586665107,68,49.78,-74.85,26.6,5.82
470,honiara,75,SB,1586665107,79,-9.43,159.95,84.2,2.24
471,nara,75,JP,1586665107,76,34.69,135.8,50.0,10.29
472,atbasar,100,KZ,1586665108,64,51.8,68.33,41.77,13.13
473,vagur,99,FO,1586665108,78,61.47,-6.81,41.29,29.19
474,bay roberts,75,US,1586665108,65,43.73,-84.02,51.8,3.36
475,pengcheng,0,CN,1586665109,20,36.43,114.17,68.32,17.52
476,longyan,9,CN,1586665109,36,25.11,117.02,61.99,6.38
477,muravlenko,98,RU,1586665109,94,63.79,74.52,32.7,4.21
478,soyo,100,AO,1586665109,85,-6.13,12.37,80.47,3.24
479,polyarnyy,49,RU,1586665110,78,69.2,33.45,17.6,4.47
480,concordia,0,AR,1586665110,82,-31.39,-58.02,57.99,1.99
481,jumla,0,NP,1586665110,13,29.27,82.18,60.57,2.13
482,kirkwood,90,US,1586665111,50,38.58,-90.41,60.8,6.93
483,aksu,91,CN,1586665111,15,41.12,80.26,65.16,4.41
484,togur,5,RU,1586665111,87,58.36,82.83,36.5,6.44
485,majene,78,ID,1586665112,64,-3.54,118.97,83.62,3.13
486,senador jose porfirio,1,HT,1586665112,88,18.82,-71.9,77.0,5.82
487,hobyo,22,SO,1586665112,72,5.35,48.53,82.49,8.08
488,cascavel,0,BR,1586665113,39,-24.96,-53.46,55.0,3.42
489,kommunar,10,RU,1586665113,92,59.62,30.39,32.0,4.47
490,gobabis,61,NA,1586665113,82,-22.45,18.97,59.0,4.7
491,tual,29,ID,1586664817,70,-5.67,132.75,84.24,2.75
492,almaznyy,20,RU,1586665114,86,48.04,40.05,33.8,8.95
493,chingirlau,97,KZ,1586665114,60,51.09,54.08,43.36,12.97
494,komsomolskiy,66,UZ,1586665087,58,40.43,71.72,59.0,2.24
495,neka,75,IR,1586665040,93,36.65,53.3,50.0,4.7
496,maragogi,63,BR,1586665115,80,-9.01,-35.22,78.94,4.9
497,tefe,100,BR,1586665115,97,-3.35,-64.71,73.31,1.43
498,praia da vitoria,23,CV,1586665018,78,14.92,-23.51,73.4,8.05
499,yulara,60,AU,1586665116,11,-25.24,130.99,89.6,6.93
500,northam,37,GB,1586665116,92,51.03,-4.22,51.01,1.99
501,kununurra,100,AU,1586665116,43,-15.77,128.73,89.6,8.05
502,labuhan,49,ID,1586665116,68,-6.88,112.21,85.69,5.1
503,necochea,95,AR,1586664914,90,-38.55,-58.74,60.01,1.99
504,dagua,75,CO,1586665117,88,3.66,-76.69,73.4,4.7
505,beyneu,3,KZ,1586665117,55,45.32,55.2,48.96,12.12
506,benguela,5,AO,1586665118,82,-12.58,13.41,77.29,3.06
507,torquay,0,GB,1586665118,8,50.46,-3.51,51.01,1.57
508,ust-nera,100,RU,1586665118,86,64.57,143.2,26.82,7.05
509,skeldon,98,GY,1586665119,82,5.88,-57.13,77.05,9.1
510,iwanai,0,JP,1586665120,65,42.97,140.51,41.2,6.78
511,alexandria,0,EG,1586665090,72,31.22,29.96,58.12,4.9
512,sao felix do xingu,0,IN,1586664940,14,20.51,76.21,90.25,6.24
513,boulder city,1,US,1586665079,26,40.08,-105.35,61.0,4.7
514,xichang,91,CN,1586665122,34,27.9,102.26,61.47,2.75
515,berlevag,100,NO,1586665122,73,70.86,29.09,24.8,14.99
516,qrendi,0,MT,1586665123,93,35.83,14.46,55.0,6.93
517,zakamensk,100,RU,1586665123,32,50.37,103.29,47.39,4.81
518,coxim,0,BR,1586665123,73,-18.51,-54.76,73.6,2.28
519,ouadda,100,CF,1586665124,73,8.08,22.4,69.73,3.18
520,taoudenni,0,ML,1586665124,15,22.68,-3.98,81.05,6.11
521,maiduguri,91,NG,1586665022,29,11.85,13.16,74.7,5.97
522,sarankhola,0,BD,1586665125,52,22.31,89.79,88.27,6.13
523,kedrovyy,0,RU,1586665126,42,56.17,91.82,44.6,17.9
524,vad,100,RU,1586665126,88,55.53,44.21,31.95,17.81
525,nuevo casas grandes,90,US,1586665127,82,33.8,-117.15,62.6,4.7
526,sabha,0,LY,1586665127,26,27.04,14.43,65.59,15.32
527,calama,0,CL,1586665127,40,-22.47,-68.93,51.8,6.93
528,camacha,75,PT,1586665128,87,33.08,-16.33,59.0,11.41
529,tarata,0,BO,1586665128,48,-17.62,-66.02,64.4,5.82
530,san quintin,63,ML,1586664902,32,13.3,-4.9,88.14,11.21
531,baghdad,20,IQ,1586664915,62,33.34,44.4,57.2,2.24
532,lillooet,1,CA,1586664944,28,50.69,-121.94,42.8,2.24
533,montrose,20,US,1586665129,20,38.42,-108.27,60.8,3.36
534,pinawa,67,CA,1586665130,93,50.15,-95.88,23.94,6.29
535,saint-joseph,19,RE,1586665130,65,-21.37,55.62,79.0,4.7
536,freeport,1,US,1586665130,48,40.66,-73.58,51.8,3.36
537,voi,100,KE,1586665131,70,-3.39,38.56,72.9,3.36
538,dongsheng,0,CN,1586665131,22,39.82,109.98,46.83,5.39
539,cabedelo,20,BR,1586665132,94,-6.98,-34.83,77.0,3.36
540,sciacca,0,IT,1586665132,81,37.51,13.09,55.0,3.36
541,atherton,78,GB,1586665132,100,53.52,-2.49,53.01,1.12
542,klyuchi,23,RU,1586665132,56,52.27,79.17,44.29,8.1
543,gdansk,97,PL,1586665133,36,54.35,18.65,48.99,10.29
544,altus,20,US,1586665133,100,34.64,-99.33,64.4,9.17
545,viedma,100,AR,1586665134,55,-40.81,-63.0,52.57,5.19
546,garowe,47,SO,1586665134,64,8.41,48.48,76.33,9.86
547,kazachinskoye,0,RU,1586665134,62,57.7,93.28,42.58,6.22
548,byron bay,90,US,1586665135,71,44.03,-92.65,52.0,3.36
549,zeya,89,RU,1586665135,51,53.75,127.27,51.67,2.98
550,marienburg,92,PL,1586664925,36,54.04,19.03,48.99,10.29
551,porbandar,4,IN,1586665136,57,21.64,69.61,82.54,12.93
552,emba,0,KZ,1586665136,55,48.83,58.14,43.54,7.34
553,erzin,2,TR,1586665136,82,36.96,36.2,57.2,4.7
554,lincoln,1,US,1586665137,50,40.8,-96.67,55.4,16.11
555,tortoli,5,IT,1586665137,3,39.93,9.66,57.2,10.29
556,kumi,90,KR,1586665137,66,36.11,128.34,51.8,3.36
557,havre-saint-pierre,1,CA,1586665138,92,50.23,-63.6,32.0,9.17
